the_geom,marker_id,meter_id,bay_id,last_edit,rd_seg_id,rd_seg_dsc,mean_lat,mean_long,location
"MULTIPOLYGON (((144.954631022064 -37.814247302719, 144.954608556661 -37.81425379835, 144.954584583159 -37.814202001432, 144.954607078152 -37.814195462162, 144.954631022064 -37.814247302719)))",4497W,572B,9590,20201208140823.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.81422917347639,144.95461245242,"(-37.81422917347639, 144.95461245242)"
"MULTIPOLYGON (((144.954497006156 -37.813958128989, 144.954474329887 -37.813964776836, 144.954452248871 -37.813917471779, 144.954475001729 -37.81391088835, 144.954497006156 -37.813958128989)))",4457W,572B,9585,20201208140823.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.8139418789886,144.9544791185598,"(-37.8139418789886, 144.9544791185598)"
"MULTIPOLYGON (((144.9544479082 -37.813852664095, 144.954425106139 -37.813859261084, 144.954401713433 -37.813808489843, 144.954424555592 -37.813801880037, 144.9544479082 -37.813852664095)))",4461W,572B,9583,20201208140822.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.8138349918308,144.95442943831281,"(-37.8138349918308, 144.95442943831281)"
"MULTIPOLYGON (((144.954607078152 -37.814195462162, 144.954584583159 -37.814202001432, 144.954559359728 -37.814147503605, 144.95458190052 -37.814140950716, 144.954607078152 -37.814195462162)))",4499W,572B,9589,20201208140823.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.8141762760154,144.9545879999422,"(-37.8141762760154, 144.9545879999422)"
"MULTIPOLYGON (((144.954556722923 -37.814086439265, 144.954534154565 -37.814093044839, 144.954528562915 -37.814080964784, 144.954509181432 -37.814039440808, 144.954531840765 -37.814032913418, 144.954556722923 -37.814086439265)))",4453W,572B,9587,20201208140823.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.81406987372983,144.95453619758717,"(-37.81406987372983, 144.95453619758717)"
"MULTIPOLYGON (((144.954475001729 -37.81391088835, 144.954452248871 -37.813917471779, 144.954427207811 -37.813863822393, 144.954425106139 -37.813859261084, 144.9544479082 -37.813852664095, 144.954475001729 -37.81391088835)))",4459W,572B,9584,20201208140822.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.81388583267517,144.95445041241317,"(-37.81388583267517, 144.95445041241317)"
"MULTIPOLYGON (((144.95458190052 -37.814140950716, 144.954559359728 -37.814147503605, 144.954534154565 -37.814093044839, 144.954556722923 -37.814086439265, 144.95458190052 -37.814140950716)))",4451W,572B,9588,20201208140823.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.81412177782819,144.9545628076512,"(-37.81412177782819, 144.9545628076512)"
"MULTIPOLYGON (((144.954531840765 -37.814032913418, 144.954509181432 -37.814039440808, 144.954483961148 -37.813985408926, 144.954506654511 -37.813978841579, 144.954531840765 -37.814032913418)))",4455W,572B,9586,20201208140823.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.8140139036298,144.9545126957242,"(-37.8140139036298, 144.9545126957242)"
"MULTIPOLYGON (((144.954401205285 -37.813751096014, 144.954378320757 -37.813757718597, 144.954354923571 -37.813706947268, 144.954377856169 -37.813700311107, 144.954401205285 -37.813751096014)))",4465W,572A,9581,20201208140822.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.81373343380001,144.9543827022134,"(-37.81373343380001, 144.9543827022134)"
"MULTIPOLYGON (((144.954424555592 -37.813801880037, 144.954401713433 -37.813808489843, 144.954378320757 -37.813757718597, 144.954401205285 -37.813751096014, 144.954424555592 -37.813801880037)))",4463W,572A,9582,20201208140822.0,20194.0,King Street between Lonsdale Street and Little Lonsdale Street,-37.813784212905595,144.9544060701318,"(-37.813784212905595, 144.9544060701318)"
