marker_id
1468E
13831S
13636E
11866E
14008E
13212N
5156E
C2800
15121W
15086E
C13608
C5636
5181W
15246E
12814N
2621S
7845W
C7148
C5434
8632E
15181S
11983W
C7244
3475S
3400N
C5564
3511S
1775S
9304N
1344E
8325W
C6374
15043W
12031W
4907W
C6882
C5778
929W
C5920
1892N
9823S
13276N
1863S
1601W
C5776
8295W
9359S
1713S
7572N
13828N
12558N
9249S
4666Ea
13512E
13233S
9243S
C6132
3343S
C1260
3319S
9254N
5142E
C5540
1664N
C6756
C9060
9858N
12049W
3422N
13807S
7829W
9455S
2112N
C5700
C2924
15162N
9252N
11862E
14072E
14227W
C596
13786E
1738N
C6850
13322E
12281S
6517S
C1164
1693S
12288N
9292N
5318E
C6152
13840N
15251S
15224E
9387S
C1082
1871S
12235S
6197W
4897W
C7698
1736N
6024N
C6844
9962N
2345S
2116N
4456E
1723S
3868N
12439S
C5858
15548N
2614N
C1230
5534E
1405W
13319W
8893W
2336N
10170E
C6284
C2776
13758E
12450N
12469S
C6776
50E
C6990
C2672
10193W
13862N
15019W
9978N
5491W
C5860
2702N
14098E
1668N
C6918
15017W
9938N
5131W
C1086
8287W
C5922
13756E
3751S
15188N
C168
10009W
15140N
3182N
2468N
C7726
3918N
13416E
15230E
15136N
9222N
12001W
12095W
12328N
1567W
13079S
13347W
C1040
12264N
9521S
C6164
15118N
C1256
1404E
C552
15615W
3916N
9945S
C2788
6229W
9946N
15510N
4841W
5270E
9904N
C6662
C5930
1897S
12284N
2843S
13013S
1342E
14012E
4916E
C450
15318E
12343S
10122E
C6784
6540N
9427S
1894N
7041S
15097W
15520N
13414E
13768E
15274N
1902N
13709W
15093W
C6928
12367S
3551S
6237W
13308N
C6126
10109W
3922N
C13664
C5528
13668E
8345W
C5426
C6280
13859S
12438N
C220
3415S
4468E
3912N
1441W
8710E
C204
C7682
15193S
102E
C6402
15212E
9411S
13842N
795W
291W
1431W
1203W
2397S
C842
12388N
13318E
5810E
1697S
7082N
14056E
C9154
9224N
C1111
12390N
15755S
13089S
15001W
C1146
3799S
8668E
5530E
3238N
15135S
12011W
9906N
15334E
3944N
8670E
C5904
12386N
C9076
C6296
C1160
C5792
2888N
13747W
5516E
1565W
9423S
12015W
4852E
5060E
C6396
330E
12019W
12059W
13582E
7095S
12369S
962E
C2804
13800N
C6352
C1106
C3288
8651W
7066N
2515S
2054N
13397W
13406E
12811S
C624
9230N
6000N
1385W
C7174
11889W
3969S
3498N
9343S
9516N
12085W
C2860
9862N
13285S
1882N
C348
14018E
94E
13360E
13015S
C6340
9828N
6573S
5094E
12540N
1445W
5522E
4835W
13381W
13600E
3087S
67W
C7748
13743W
12410N
14002E
4008N
12202N
2052N
13448E
C13552
5072E
C5646
15169S
C3058
4854E
C5862
15336E
3341S
3755S
10117W
15701S
C518
3266N
13508E
13653W
C7002
3242N
8642E
3270N
12522N
C7186
13767W
2386N
10179W
3471S
C6170
11899W
9443S
6576N
3697S
12808N
13612E
D9W
6183W
12552N
15249S
15757S
2571S
12027W
C6140
C8072
6225W
C470
1356E
C6884
3198N
8680E
12564N
C6740
C304
C5962
C1150
9399S
15022E
7035S
7654N
12443S
13045S
8319W
C6852
12358N
C5714
9138N
5134E
11712E
C3114
15024E
9274N
2283S
13833S
4501W
1380E
5582E
15239S
13307W
15142N
7847W
1561W
5990N
7579S
114E
C6892
14096E
C5640
1397W
3091S
C3184
15540N
3955S
13442E
8314E
7086N
C5430
13035S
C6042
6004N
C5628
964E
C7006
13434E
C1206
C7714
2625S
5315W
5260E
15298N
9118N
13011S
14068E
13026N
C2644
14261W
12313S
2682N
6006N
14078E
14259W
15342E
2232N
