pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001028,7,7:30,12:30,0,60,320
30001029,2,7:30,18:30,0,120,320
30001029,3,7:30,18:30,0,120,320
30001029,4,7:30,18:30,0,120,320
30001029,5,7:30,18:30,0,120,320
30001029,6,7:30,18:30,0,120,320
30001029,7,7:30,12:30,0,120,320
30001030,2,7:30,18:30,0,60,320
30001030,3,7:30,18:30,0,60,320
30001030,4,7:30,18:30,0,60,320
30001030,5,7:30,18:30,0,60,320
30001030,6,7:30,18:30,0,60,320
30001030,7,7:30,12:30,0,60,320
30001031,2,7:30,18:30,0,120,320
30001031,3,7:30,18:30,0,120,320
30001031,4,7:30,18:30,0,120,320
30001031,5,7:30,18:30,0,120,320
30001031,6,7:30,18:30,0,120,320
30001031,7,7:30,12:30,0,120,320
30001033,2,7:30,18:30,0,120,320
30001033,3,7:30,18:30,0,120,320
30001033,4,7:30,18:30,0,120,320
30001033,5,7:30,18:30,0,120,320
30001033,6,7:30,18:30,0,120,320
30001033,7,7:30,12:30,0,120,320
30001034,2,7:30,18:30,0,120,320
30001034,3,7:30,18:30,0,120,320
30001034,4,7:30,18:30,0,120,320
30001034,5,7:30,18:30,0,120,320
30001034,6,7:30,18:30,0,120,320
30001034,7,7:30,12:30,0,120,320
30001035,2,7:30,18:30,0,120,320
30001035,3,7:30,18:30,0,120,320
30001035,4,7:30,18:30,0,120,320
30001035,5,7:30,18:30,0,120,320
30001035,6,7:30,18:30,0,120,320
30001035,7,7:30,12:30,0,120,320
30001036,2,7:30,18:30,0,120,320
30001036,3,7:30,18:30,0,120,320
30001036,4,7:30,18:30,0,120,320
30001036,5,7:30,18:30,0,120,320
30001036,6,7:30,18:30,0,120,320
30001036,7,7:30,12:30,0,120,320
30001040,2,7:30,18:30,0,60,320
30001040,3,7:30,18:30,0,60,320
30001040,4,7:30,18:30,0,60,320
30001040,5,7:30,18:30,0,60,320
30001040,6,7:30,18:30,0,60,320
30001040,7,7:30,12:30,0,60,320
30001041,2,7:30,18:30,0,120,320
30001041,3,7:30,18:30,0,120,320
30001041,4,7:30,18:30,0,120,320
30001041,5,7:30,18:30,0,120,320
30001041,6,7:30,18:30,0,120,320
30001041,7,7:30,12:30,0,120,320
30001042,2,7:30,18:30,0,120,320
30001042,3,7:30,18:30,0,120,320
30001042,4,7:30,18:30,0,120,320
30001042,5,7:30,18:30,0,120,320
30001042,6,7:30,18:30,0,120,320
30001042,7,7:30,12:30,0,120,320
30001043,2,7:30,18:30,0,240,170
30001043,3,7:30,18:30,0,240,170
30001043,4,7:30,18:30,0,240,170
30001043,5,7:30,18:30,0,240,170
30001043,6,7:30,18:30,0,240,170
30001043,7,7:30,12:30,0,240,170
30001044,2,10:00,18:30,0,510,80
30001044,3,10:00,18:30,0,510,80
30001044,4,10:00,18:30,0,510,80
30001044,5,10:00,18:30,0,510,80
30001044,6,10:00,18:30,0,510,80
30001044,7,7:30,13:30,0,360,80
30001045,2,7:30,18:30,0,120,320
30001045,3,7:30,18:30,0,120,320
30001045,4,7:30,18:30,0,120,320
30001045,5,7:30,18:30,0,120,320
30001045,6,7:30,18:30,0,120,320
