marker_id,maximum_stay,cost_per_hour
C5610,60,320
C5646,60,320
5693W,60,320
C5702,60,320
C5704,60,320
C5626,60,320
C5696,60,320
C5688,60,320
5668E,60,320
5686E,60,320
C5648,60,320
C5644,60,320
C5638,60,320
C5616,60,320
C5618,60,320
C5656,60,320
5607W,60,320
C5658,60,320
5694E,60,320
C5666,60,320
C5700,60,320
C5706,60,320
C5638,60,320
5690E,60,320
C5680,60,320
5672E,60,320
C5652,60,320
5689W,60,320
5701W,60,320
C5662,60,320
C5620,60,320
C5624,60,320
C5670,60,320
C5692,60,320
5698E,60,320
5597W,60,320
C5628,60,320
C5642,60,320
C5632,60,320
C5684,60,320
C5664,60,320
C5654,60,320
6268N,60,550
6258N,60,550
6264N,60,550
6270N,60,550
6256N,60,550
6260N,60,550
6274N,60,550
6266N,60,550
6272N,60,550
6262N,60,550
3656N,120,550
3651S,120,550
3654N,120,550
3643S,120,550
3648N,120,550
3641S,120,550
3649S,120,550
3688N,120,550
3650N,120,550
3645S,120,550
3690N,120,550
3665S,120,550
3692N,120,550
3661S,120,550
3667S,120,550
3671S,120,550
3673S,120,550
3659S,120,550
3660N,120,550
3668N,120,550
3657S,120,550
3669S,120,550
3662N,120,550
3666N,120,550
3647S,120,550
3664N,120,550
3663S,120,550
1697S,120,550
1722N,120,550
1718N,120,550
1716N,120,550
1703S,120,550
1714N,120,550
1701S,120,550
1713S,120,550
1693S,120,550
1711S,120,550
1705S,120,550
1712N,120,550
1707S,120,550
1720N,120,550
1710N,120,550
1709S,120,550
1699S,120,550
1695S,120,550
1708N,120,550
1691S,120,550
7891W,120,320
C7834,120,320
7889W,120,320
7879W,120,320
7883W,120,320
C7838,120,320
7875W,120,320
7881W,120,320
7877W,120,320
7893W,120,320
C7810,120,320
C7830,120,320
C7822,120,320
7885W,120,320
C7842,120,320
C7802,120,320
C7806,120,320
C7818,120,320
C7826,120,320
7887W,120,320
7871W,120,320
C7814,120,320
7873W,120,320
4611W,60,550
4621W,60,550
4617W,60,550
4619W,60,550
4615W,60,550
4613W,60,550
3444N,60,550
3455S,60,550
3456NC,60,550
3452N,60,550
3442N,60,550
3456N,60,550
3453S,60,550
3448N,60,550
3456NB,60,550
3456NA,60,550
3454N,60,550
3446N,60,550
3450N,60,550
3456ND,60,550
15209S,240,170
15217S,240,170
15188N,240,170
15194N,240,170
15211S,240,170
15215S,240,170
15190N,240,170
15207S,240,170
15213S,240,170
15219S,240,170
15192N,240,170
C108,60,550
C148,60,550
C120,60,550
C116,60,550
C112,60,550
91W,60,550
C158,60,550
C144,60,550
C158,60,550
C140,60,550
C150,60,550
C156,60,550
89W,60,550
81W,60,550
83W,60,550
C88,60,550
C80,60,550
C158,60,550
D9W,60,550
87W,60,550
C104,60,550
C100,60,550
C128,60,550
93W,60,550
C158,60,550
C146,60,550
D7W,60,550
C84,60,550
C154,60,550
C154,60,550
C152,60,550
85W,60,550
C132,60,550
95W,60,550
C92,60,550
C156,60,550
C124,60,550
13762E,120,320
13727W,120,320
6660N,30,540
C6598,30,540
6588N,30,540
6592N,30,540
6629S,30,540
6672N,30,540
C6650,30,540
C6638,30,540
C6652,30,540
C6632,30,540
6623S,30,540
C6608,30,540
C6654,30,540
6680N,30,540
6633S,30,540
6669S,30,540
C6710,30,540
6571S,30,540
6584N,30,540
6657S,30,540
C6634,30,540
6668N,30,540
6576N,30,540
6583S,30,540
6614N,30,540
6663S,30,540
C6642,30,540
C6616,30,540
6575S,30,540
C6646,30,540
6631S,30,540
C6632B,30,540
C6624,30,540
6625S,30,540
C6702,30,540
C6648,30,540
C6606,30,540
6619S,30,540
C6602,30,540
6581S,30,540
C6678,30,540
C6682,30,540
6573S,30,540
C6620,30,540
C6674,30,540
C6632A,30,540
6667S,30,540
C6698,30,540
C6658,30,540
C6628,30,540
6661S,30,540
C6636,30,540
C6640,30,540
C6686,30,540
6676N,30,540
6664N,30,540
C6662,30,540
6580N,30,540
C6706,30,540
6665S,30,540
6659S,30,540
C6656,30,540
6621S,30,540
6627S,30,540
C6714,30,540
6618N,30,540
C6612,30,540
C6670,30,540
C6712,30,540
C6690,30,540
9343S,60,320
9397S,60,320
9385S,60,320
9335S,60,320
9327S,60,320
9389S,60,320
9387S,60,320
9337S,60,320
9401S,60,320
9393S,60,320
9319S,60,320
9365S,60,320
9315S,60,320
9391S,60,320
9351S,60,320
9341S,60,320
9405S,60,320
9371S,60,320
9373S,60,320
9359S,60,320
9395S,60,320
9355S,60,320
9321S,60,320
9339S,60,320
9323S,60,320
9333S,60,320
9367S,60,320
9357S,60,320
9349S,60,320
9369S,60,320
9363S,60,320
9329S,60,320
9375S,60,320
9361S,60,320
9331S,60,320
9325S,60,320
9353S,60,320
9403S,60,320
9317S,60,320
9407S,60,320
9399S,60,320
1442E,30,540
1450E,30,540
1446E,30,540
1444E,30,540
1452E,30,540
1453W,30,540
1460E,30,540
1456E,30,540
1455W,30,540
1441W,30,540
1457W,30,540
1439W,30,540
1458E,30,540
1445W,30,540
1447W,30,540
1443W,30,540
1449W,30,540
1451W,30,540
1448E,30,540
1454E,30,540
10164E,60,320
10193W,60,320
10157W,60,320
10160E,60,320
10192E,60,320
